name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Banfield vs Huracán,2024-05-19 20:45:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Banfield,Huracán,1,1,22,7,6.0,1.0,11.0,13.0,15.0,11.0,137.0,103.0,55.0,24.0,52.0,48.0,,,9.0,4.0,6.0,7.0,2.0,0.0,,,10.0,8.0,12.0,10.0,2.0,8.0,2.0,1.0,3.05,2.79,2.84,1.62,2.34,,,,,,,2.8,2.9,2.75,1.61,2.2,,,,,,,2024
Central Cordoba SdE vs Boca Juniors,2024-05-19 23:00:00,Boca Juniors won after full-time.,Argentina Liga Profissional de Futebol,Central Cordoba SdE,Boca Juniors,2,4,28,23,2.0,6.0,5.0,7.0,12.0,16.0,93.0,98.0,41.0,55.0,57.0,43.0,,,7.0,11.0,5.0,5.0,3.0,4.0,,,5.0,15.0,14.0,15.0,8.0,2.0,2.0,1.0,5.96,3.91,1.61,1.7,2.19,1.81,2.07,1.88,1.98,,,5.75,3.8,1.6,1.66,2.1,1.8,2.05,1.82,2.02,,,2024
San Lorenzo vs Lanús,2024-05-20 22:00:00,Game ended in draw.,Argentina Liga Profissional de Futebol,San Lorenzo,Lanús,1,1,26,28,7.0,6.0,13.0,10.0,20.0,13.0,99.0,63.0,62.0,27.0,63.0,37.0,,,10.0,8.0,10.0,5.0,3.0,2.0,,,14.0,9.0,14.0,21.0,8.0,7.0,2.0,6.0,2.45,2.92,3.49,1.6,2.38,,,,,,,2.45,2.9,3.4,1.57,2.25,,,,,,,2024
Estudiantes vs Deportivo Riestra,2024-05-20 22:00:00,Estudiantes won after full-time.,Argentina Liga Profissional de Futebol,Estudiantes,Deportivo Riestra,2,0,12,11,6.0,3.0,15.0,5.0,22.0,6.0,132.0,96.0,63.0,43.0,75.0,25.0,1.0,0.0,10.0,5.0,12.0,1.0,1.0,1.0,,,15.0,2.0,15.0,12.0,3.0,11.0,4.0,3.0,1.42,4.24,9.71,1.52,2.6,1.78,2.11,2.0,1.87,,,1.4,4.0,10.0,1.5,2.5,1.8,2.05,1.92,1.92,,,2024
Rosario Central vs Tigre,2024-05-21 00:15:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Rosario Central,Tigre,1,1,25,26,7.0,2.0,4.0,6.0,8.0,9.0,118.0,135.0,52.0,27.0,50.0,50.0,,,7.0,3.0,1.0,6.0,4.0,2.0,1.0,0.0,8.0,4.0,9.0,10.0,5.0,4.0,3.0,1.0,1.62,3.73,6.33,1.64,2.3,1.78,2.11,2.07,1.81,,,1.61,3.7,6.25,1.57,2.25,1.77,2.1,2.05,1.8,,,2024
Racing Club vs Argentinos Juniors,2024-05-21 00:15:00,Racing Club won after full-time.,Argentina Liga Profissional de Futebol,Racing Club,Argentinos Juniors,3,0,15,12,3.0,4.0,9.0,6.0,18.0,6.0,83.0,85.0,55.0,39.0,47.0,53.0,,,11.0,6.0,7.0,0.0,2.0,7.0,0.0,1.0,16.0,3.0,17.0,14.0,4.0,9.0,4.0,4.0,1.76,3.49,5.37,1.79,2.07,,,1.91,1.95,,,1.72,3.4,5.5,1.75,2.0,,,1.92,1.92,,,2024
Vélez Sarsfield vs Newell's Old Boys,2024-05-21 23:00:00,Vélez Sarsfield won after full-time.,Argentina Liga Profissional de Futebol,Vélez Sarsfield,Newell's Old Boys,1,0,27,11,2.0,4.0,3.0,4.0,5.0,8.0,105.0,84.0,38.0,34.0,56.0,44.0,,,4.0,6.0,1.0,2.0,1.0,5.0,,,3.0,4.0,17.0,16.0,3.0,2.0,4.0,0.0,1.97,3.19,4.53,1.62,2.35,2.04,1.84,,,,,2.05,3.1,4.33,1.57,2.25,2.0,1.85,,,,,2024
Deportivo Riestra vs Rosario Central,2024-05-24 18:30:00,Rosario Central won after full-time.,Argentina Liga Profissional de Futebol,Deportivo Riestra,Rosario Central,0,2,14,17,7.0,1.0,6.0,3.0,19.0,9.0,116.0,93.0,58.0,20.0,49.0,51.0,1.0,0.0,16.0,5.0,3.0,4.0,0.0,1.0,0.0,1.0,11.0,7.0,12.0,14.0,5.0,12.0,1.0,3.0,2.59,2.75,3.47,1.5,2.65,2.01,1.86,,,,,2.45,2.8,3.5,1.5,2.5,2.02,1.82,,,,,2024
Tigre vs Racing Club,2024-05-24 22:00:00,Racing Club won after full-time.,Argentina Liga Profissional de Futebol,Tigre,Racing Club,0,4,20,4,1.0,3.0,9.0,5.0,13.0,15.0,124.0,69.0,46.0,33.0,61.0,39.0,0.0,1.0,3.0,12.0,10.0,3.0,1.0,4.0,,,10.0,13.0,13.0,8.0,6.0,7.0,4.0,2.0,5.48,3.74,1.68,1.88,1.96,,,1.81,2.07,2.03,1.84,5.5,3.7,1.66,1.8,1.95,,,1.8,2.05,2.0,1.85,2024
Belgrano vs Central Cordoba SdE,2024-05-25 00:15:00,Belgrano won after full-time.,Argentina Liga Profissional de Futebol,Belgrano,Central Cordoba SdE,2,1,26,28,4.0,7.0,7.0,9.0,12.0,10.0,86.0,102.0,44.0,44.0,35.0,65.0,0.0,1.0,11.0,4.0,1.0,6.0,1.0,0.0,0.0,1.0,10.0,7.0,20.0,8.0,7.0,6.0,5.0,3.0,1.75,3.55,5.33,1.8,2.05,1.8,2.05,1.85,2.02,,,1.72,3.6,5.25,1.8,1.95,1.77,2.1,1.87,1.97,2.05,1.8,2024
