team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id
Fénix,,,,100.49,100.49,3718,,,,,,47.38,47.38,1753,5.14,5.14,190,68.3,68.3,2527,11.73,11.73,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,1.05,39,,,,,66.67,3.0,6.0,,,,0.05,0.05,0.0,0.0,2.0,133312.0,,277,7.49,9,0.0,189,106,0.0,,277,,,,,,,,,,,2.68,2.68,0,0.0,99,133312,0.11,0.11,0.0,0.0,4.0,260893.0
Peñarol,,,,103.49,103.49,3829,,,,,,56.89,56.89,2105,5.78,5.78,214,71.11,71.11,2631,12.43,12.43,460,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.27,1.27,47,,,,,71.43,4.0,10.0,,,,0.05,0.05,0.0,0.0,2.0,245082.0,,289,7.81,16,0.0,158,132,0.0,,289,,,,,,,,,,,3.16,3.16,0,0.0,117,132885,0.08,0.08,0.0,0.0,3.0,188745.0
Defensor Sporting,,,,93.84,93.84,3472,,,,,,50.65,50.65,1874,6.11,6.11,226,71.49,71.49,2645,11.24,11.24,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.03,38,,,,,80.0,1.0,4.0,,,,0.11,0.11,0.0,0.0,4.0,109916.0,,367,9.92,3,0.0,225,160,0.0,,367,,,,,,,,,,,3.05,3.05,0,0.0,113,37577544,0.19,0.19,0.0,0.0,7.0,260603.0
Liverpool,,,,104.64,104.64,4081,,,,,,49.31,49.31,1923,5.31,5.31,207,64.41,64.41,2512,12.41,12.41,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.03,1.03,40,,,,,80.0,2.0,8.0,,,,0.08,0.08,0.0,0.0,3.0,260925.0,,364,9.33,10,0.0,212,159,0.0,,364,,,,,,,,,,,3.74,3.74,0,0.0,146,30081364,0.1,0.1,0.0,0.0,4.0,20336084.0
Albion,,,,91.38,91.38,3381,,,,,,46.0,46.0,1702,5.24,5.24,194,53.62,53.62,1984,5.68,5.68,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62,0.62,23,,,,,77.78,2.0,7.0,,,,0.16,0.16,0.0,0.0,6.0,129120.0,,227,6.14,19,,155,87,,,227,,,,,,,,,,,3.16,3.16,0,0.0,117,37416813,,,,,,
Rentistas,,,,88.97,88.97,3292,,,,,,45.24,45.24,1674,3.62,3.62,134,50.41,50.41,1865,13.0,13.0,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.65,24,,,,,61.54,5.0,8.0,,,,0.08,0.08,0.0,0.0,3.0,129252.0,,204,5.51,7,0.0,129,88,0.0,,204,,,,,,,,,,,3.59,3.59,0,0.0,133,162737,0.16,0.16,0.0,0.0,6.0,37567342.0
Boston River,,,,101.35,101.35,3750,,,,,,53.95,53.95,1996,3.76,3.76,139,58.51,58.51,2165,9.97,9.97,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,1.22,45,,,,,80.0,0.0,5.0,,,,0.3,0.3,0.0,0.0,11.0,261062.0,,232,6.27,12,0.0,137,109,0.0,,232,,,,,,,,,,,2.59,2.59,0,0.0,96,4192467,0.03,0.03,0.0,0.0,1.0,1452155.0
Plaza Colonia,,,,97.89,97.89,3622,,,,,,47.78,47.78,1768,3.54,3.54,131,58.89,58.89,2179,12.14,12.14,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1.11,41,,,,,77.78,2.0,7.0,,,,0.05,0.05,0.0,0.0,2.0,238306.0,,221,5.97,11,0.0,137,98,0.0,,221,,,,,,,,,,,3.08,3.08,0,0.0,114,261341,0.11,0.11,0.0,0.0,4.0,260819.0
Nacional,,,,101.64,101.64,3964,,,,,,50.23,50.23,1959,6.31,6.31,246,67.85,67.85,2646,9.56,9.56,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,1.18,46,,,,,57.14,3.0,4.0,,,,0.05,0.05,0.0,0.0,2.0,12393469.0,,390,10.0,16,0.0,238,179,0.0,,390,,,,,,,,,,,3.28,3.28,0,0.0,128,261233,0.13,0.13,0.0,0.0,5.0,260910.0
Deportivo Maldonado,,,,96.16,96.16,3558,,,,,,45.46,45.46,1682,3.78,3.78,140,59.54,59.54,2203,12.24,12.24,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16,1.16,43,,,,,70.0,3.0,7.0,,,,0.08,0.08,0.0,0.0,3.0,170051.0,,293,7.92,15,0.0,189,117,0.0,,293,,,,,,,,,,,3.46,3.46,1,0.03,128,260596,0.08,0.08,0.0,0.0,3.0,260855.0
River Plate,,,,95.76,95.76,3543,,,,,,47.92,47.92,1773,5.62,5.62,208,61.08,61.08,2260,11.32,11.32,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.59,22,,,,,55.56,4.0,5.0,,,,0.05,0.05,0.0,0.0,2.0,185108.0,,264,7.14,14,0.0,161,123,0.0,,264,,,,,,,,,,,2.97,2.97,0,0.0,110,158137,0.11,0.11,0.0,0.0,4.0,238201.0
Wanderers,,,,102.16,102.16,3780,,,,,,49.14,49.14,1818,4.46,4.46,165,61.59,61.59,2279,12.46,12.46,461,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.14,42,,,,,50.0,2.0,2.0,,,,0.19,0.19,0.0,0.0,7.0,159325.0,,223,6.03,7,0.0,145,99,0.0,,223,,,,,,,,,,,4.14,4.14,0,0.0,153,241254,0.14,0.14,0.0,0.0,5.0,260743.0
Cerrito,,,,98.81,98.81,3656,,,,,,43.81,43.81,1621,3.65,3.65,135,58.27,58.27,2156,9.59,9.59,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,26,,,,,0.0,0.0,1.0,,,,0.24,0.24,0.0,0.0,9.0,261216.0,,210,5.68,11,0.0,143,87,0.0,,210,,,,,,,,,,,3.11,3.11,0,0.0,115,213853,0.03,0.03,0.0,0.0,1.0,215384.0
