name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Eintracht Frankfurt vs FC Köln,2022-08-21 13:30:00,Game ended in draw.,Germany Bundesliga,Eintracht Frankfurt,FC Köln,1,1,16,9,5.0,9.0,5.0,3.0,9.0,5.0,109.0,98.0,56.0,46.0,53.0,46.0,0.0,0.0,4.0,3.0,5.0,2.0,3.0,4.0,,,8.0,5.0,10.0,15.0,1.0,1.0,0.0,1.0,,,,2.5,1.58,,,,,,,,,,2.38,1.53,,,,,,,2022-2023
VfL Bochum 1848 vs FC Bayern München,2022-08-21 15:30:00,FC Bayern München won after full-time.,Germany Bundesliga,VfL Bochum 1848,FC Bayern München,0,7,17,4,5.0,5.0,5.0,7.0,13.0,22.0,77.0,105.0,30.0,52.0,35.0,64.0,0.0,1.0,9.0,14.0,4.0,8.0,3.0,5.0,4.0,5.0,12.0,17.0,10.0,10.0,6.0,7.0,1.0,0.0,,,,2.19,1.71,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
SC Freiburg vs VfL Bochum 1848,2022-08-26 18:30:00,SC Freiburg won after full-time.,Germany Bundesliga,SC Freiburg,VfL Bochum 1848,1,0,5,18,2.0,5.0,11.0,6.0,29.0,15.0,122.0,104.0,81.0,69.0,47.0,52.0,1.0,0.0,20.0,11.0,9.0,4.0,0.0,0.0,,,19.0,13.0,13.0,14.0,3.0,7.0,2.0,2.0,,,,2.07,1.81,,,,,,,,,,2.0,1.75,,,,,,,2022-2023
RB Leipzig vs VfL Wolfsburg,2022-08-27 13:30:00,RB Leipzig won after full-time.,Germany Bundesliga,RB Leipzig,VfL Wolfsburg,2,0,11,15,8.0,4.0,6.0,3.0,16.0,9.0,87.0,110.0,41.0,37.0,43.0,57.0,1.0,0.0,13.0,7.0,3.0,2.0,1.0,1.0,,,12.0,5.0,20.0,16.0,4.0,5.0,3.0,3.0,,,,2.24,1.7,,,,,,,,,,2.1,1.67,,,,,,,2022-2023
FSV Mainz 05 vs Bayer 04 Leverkusen,2022-08-27 13:30:00,Bayer 04 Leverkusen won after full-time.,Germany Bundesliga,FSV Mainz 05,Bayer 04 Leverkusen,0,3,7,17,3.0,4.0,7.0,1.0,18.0,8.0,137.0,76.0,50.0,24.0,61.0,39.0,,,11.0,4.0,7.0,4.0,1.0,3.0,2.0,7.0,11.0,6.0,10.0,12.0,2.0,3.0,1.0,6.0,,,,2.36,1.64,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
TSG Hoffenheim vs FC Augsburg,2022-08-27 13:30:00,TSG Hoffenheim won after full-time.,Germany Bundesliga,TSG Hoffenheim,FC Augsburg,1,0,8,9,4.0,6.0,13.0,6.0,21.0,11.0,119.0,104.0,40.0,31.0,49.0,50.0,0.0,0.0,13.0,7.0,8.0,4.0,3.0,2.0,,,12.0,4.0,14.0,14.0,0.0,2.0,1.0,1.0,,,,2.33,1.65,,,,,,,,,,2.25,1.57,,,,,,,2022-2023
Hertha BSC vs Borussia Dortmund,2022-08-27 13:30:00,Borussia Dortmund won after full-time.,Germany Bundesliga,Hertha BSC,Borussia Dortmund,0,1,14,3,6.0,10.0,8.0,10.0,13.0,22.0,89.0,125.0,36.0,72.0,39.0,60.0,0.0,0.0,4.0,20.0,9.0,2.0,1.0,0.0,,,10.0,15.0,10.0,7.0,5.0,3.0,1.0,0.0,,,,2.5,1.58,,,,,,,,,,2.5,1.5,,,,,,,2022-2023
Schalke 04 vs FC Union Berlin,2022-08-27 13:30:00,FC Union Berlin won after full-time.,Germany Bundesliga,Schalke 04,FC Union Berlin,1,6,13,6,8.0,2.0,7.0,3.0,16.0,12.0,101.0,66.0,54.0,24.0,59.0,40.0,1.0,0.0,13.0,9.0,3.0,3.0,0.0,3.0,4.0,12.0,10.0,11.0,10.0,10.0,1.0,6.0,1.0,0.0,,,,2.13,1.77,,,,,,,,,,2.0,1.75,,,,,1.98,1.92,2022-2023
FC Bayern München vs Borussia Mönchengladbach,2022-08-27 16:30:00,Game ended in draw.,Germany Bundesliga,FC Bayern München,Borussia Mönchengladbach,1,1,2,6,14.0,1.0,7.0,2.0,33.0,5.0,155.0,49.0,108.0,7.0,68.0,31.0,0.0,0.0,22.0,4.0,11.0,1.0,7.0,0.0,10.0,9.0,19.0,4.0,11.0,12.0,1.0,10.0,4.0,2.0,,,,2.49,1.57,,,,,,,,,,2.38,1.53,,,,,,,2022-2023
FC Köln vs VfB Stuttgart,2022-08-28 13:30:00,Game ended in draw.,Germany Bundesliga,FC Köln,VfB Stuttgart,0,0,8,13,6.0,8.0,2.0,6.0,7.0,14.0,112.0,86.0,53.0,40.0,63.0,36.0,0.0,0.0,4.0,10.0,3.0,4.0,1.0,0.0,,,3.0,8.0,11.0,13.0,4.0,0.0,2.0,2.0,,,,2.33,1.65,,,,,,,,,,2.2,1.62,,,,,,,2022-2023
